id,都道府県,人口,面積,人口密度
1,東京都,13216221 ,2189 ,6038 
2,神奈川県,9072133 ,2416 ,3755 
3,大阪府,8863324 ,1901 ,4661 
4,愛知県,7425952 ,5165 ,1438 
5,埼玉県,7208122 ,3798 ,1898 
6,千葉県,6195576 ,5157 ,1201 
7,兵庫県,5571096 ,8396 ,664 
8,北海道,5460668 ,78421 ,70 
9,福岡県,5085368 ,4979 ,1021 
10,静岡県,3736600 ,7781 ,480 
11,茨城県,2945824 ,6096 ,483 
12,広島県,2849104 ,8480 ,336 
13,京都府,2627313 ,4613 ,570 
14,新潟県,2347092 ,12584 ,187 
15,宮城県,2325407 ,7286 ,319 
16,長野県,2133014 ,13562 ,157 
17,岐阜県,2064940 ,10621 ,194 
18,栃木県,1993386 ,6408 ,311 
19,群馬県,1992432 ,6362 ,313 
20,福島県,1962333 ,13783 ,142 
21,岡山県,1936575 ,7113 ,272 
22,三重県,1838611 ,5777 ,318 
23,熊本県,1807201 ,7405 ,244 
24,鹿児島県,1689397 ,9189 ,184 
25,山口県,1431294 ,6114 ,234 
26,滋賀県,1416546 ,4017 ,353 
27,愛媛県,1414996 ,5679 ,249 
28,沖縄県,1410138 ,2277 ,619 
29,長崎県,1407904 ,4106 ,343 
30,奈良県,1389690 ,3691 ,377 
31,青森県,1349899 ,9645 ,140 
32,岩手県,1303351 ,15279 ,85 
33,大分県,1185830 ,6340 ,187 
34,石川県,1162953 ,4186 ,278 
35,山形県,1151863 ,9323 ,124 
36,宮崎県,1126132 ,7736 ,146 
37,富山県,1082763 ,4248 ,255 
38,秋田県,1063168 ,11636 ,91 
39,香川県,989159 ,1877 ,527 
40,和歌山県,987483 ,4726 ,209 
41,山梨県,851681 ,4465 ,191 
42,佐賀県,843505 ,2440 ,346 
43,福井県,799127 ,4190 ,191 
44,徳島県,775871 ,4147 ,187 
45,高知県,752042 ,7105 ,106 
46,島根県,707074 ,6708 ,105 
47,鳥取県,581870 ,3507 ,166 
